schedule_date,schedule_date,schedule_season,schedule_week,team_home,team_away,stadium_surface,stadium_type,stadium_capacity,spread_favorite
2008-09-04,2008-09-04,2008,1,NYG,WAS,Grass,outdoor,82500,-4.5
2008-09-07,2008-09-07,2008,1,ATL,DET,FieldTurf,indoor,"71,250",3.0
2008-09-07,2008-09-07,2008,1,BAL,CIN,FieldTurf,outdoor,"71,008",2.0
2008-09-07,2008-09-07,2008,1,BUF,SEA,FieldTurf,outdoor,"73,967",-1.0
2008-09-07,2008-09-07,2008,1,CLE,DAL,Grass,outdoor,"68,000",6.0
2008-09-07,2008-09-07,2008,1,IND,CHI,FieldTurf,indoor,"63,000",-10.0
2008-09-07,2008-09-07,2008,1,MIA,NYJ,Grass,outdoor,65000,3.0
2008-09-07,2008-09-07,2008,1,NE,KC,FieldTurf,outdoor,"68,756",-16.0
2008-09-07,2008-09-07,2008,1,NO,TB,FieldTurf,indoor,"76,468",-3.0
2008-09-07,2008-09-07,2008,1,PHI,LAR,Grass,outdoor,"69,176",-8.0
2008-09-07,2008-09-07,2008,1,PIT,HOU,Grass,outdoor,"65,500",-6.5
2008-09-07,2008-09-07,2008,1,LAC,CAR,Grass,outdoor,"71,500",-9.5
2008-09-07,2008-09-07,2008,1,SF,ARI,Grass,outdoor,70000,2.5
2008-09-07,2008-09-07,2008,1,TEN,JAX,Grass,outdoor,"69,143",3.0
2008-09-08,2008-09-08,2008,1,GB,MIN,Grass,outdoor,"80,735",-2.5
2008-09-08,2008-09-08,2008,1,LVR,DEN,Grass,outdoor,"53,250",3.0
2008-09-14,2008-09-14,2008,2,ARI,MIA,Grass,indoor,"63,400",-6.5
2008-09-14,2008-09-14,2008,2,CAR,CHI,Grass,outdoor,"73,778",-3.0
2008-09-14,2008-09-14,2008,2,CIN,TEN,FieldTurf,outdoor,"65,515",-1.0
2008-09-14,2008-09-14,2008,2,CLE,PIT,Grass,outdoor,"68,000",6.5
2008-09-14,2008-09-14,2008,2,DEN,LAC,Grass,outdoor,"76,125",-1.0
2008-09-14,2008-09-14,2008,2,DET,GB,FieldTurf,indoor,"65,000",3.0
2008-09-14,2008-09-14,2008,2,JAX,BUF,Grass,outdoor,"67,264",-4.0
2008-09-14,2008-09-14,2008,2,KC,LVR,Grass,outdoor,"76,416",-3.5
2008-09-14,2008-09-14,2008,2,MIN,IND,FieldTurf,indoor,64000,1.0
2008-09-14,2008-09-14,2008,2,NYJ,NE,Grass,outdoor,82500,-1.0
2008-09-14,2008-09-14,2008,2,SEA,SF,FieldTurf,outdoor,"67,000",-6.5
2008-09-14,2008-09-14,2008,2,LAR,NYG,FieldTurf,indoor,67000,8.0
2008-09-14,2008-09-14,2008,2,TB,ATL,Grass,outdoor,"65,890",-7.0
2008-09-14,2008-09-14,2008,2,WAS,NO,Grass,outdoor,"79,000",-1.0
2008-09-15,2008-09-15,2008,2,DAL,PHI,FieldTurf,outdoor,66000,-6.5
2008-09-21,2008-09-21,2008,3,ATL,KC,FieldTurf,indoor,"71,250",-6.5
2008-09-21,2008-09-21,2008,3,BAL,CLE,FieldTurf,outdoor,"71,008",-2.5
2008-09-21,2008-09-21,2008,3,BUF,LVR,FieldTurf,outdoor,"73,967",-10.0
2008-09-21,2008-09-21,2008,3,CHI,TB,Grass,outdoor,"61,500",-3.0
2008-09-21,2008-09-21,2008,3,DEN,NO,Grass,outdoor,"76,125",-5.5
2008-09-21,2008-09-21,2008,3,GB,DAL,Grass,outdoor,"80,735",3.0
2008-09-21,2008-09-21,2008,3,IND,JAX,FieldTurf,indoor,"63,000",-4.0
2008-09-21,2008-09-21,2008,3,MIN,CAR,FieldTurf,indoor,64000,-3.0
2008-09-21,2008-09-21,2008,3,NE,MIA,FieldTurf,outdoor,"68,756",-12.5
2008-09-21,2008-09-21,2008,3,NYG,CIN,Grass,outdoor,82500,-13.0
2008-09-21,2008-09-21,2008,3,PHI,PIT,Grass,outdoor,"69,176",-3.5
2008-09-21,2008-09-21,2008,3,SF,DET,Grass,outdoor,70000,-5.0
2008-09-21,2008-09-21,2008,3,SEA,LAR,FieldTurf,outdoor,"67,000",-8.0
2008-09-21,2008-09-21,2008,3,TEN,HOU,Grass,outdoor,"69,143",-5.0
2008-09-21,2008-09-21,2008,3,WAS,ARI,Grass,outdoor,"79,000",-3.0
2008-09-22,2008-09-22,2008,3,LAC,NYJ,Grass,outdoor,"71,500",-8.0
2008-09-28,2008-09-28,2008,4,CAR,ATL,Grass,outdoor,"73,778",-7.0
2008-09-28,2008-09-28,2008,4,CHI,PHI,Grass,outdoor,"61,500",3.0
2008-09-28,2008-09-28,2008,4,CIN,CLE,FieldTurf,outdoor,"65,515",-1.0
2008-09-28,2008-09-28,2008,4,DAL,WAS,FieldTurf,outdoor,66000,-10.0
2008-09-28,2008-09-28,2008,4,JAX,HOU,Grass,outdoor,"67,264",-6.5
2008-09-28,2008-09-28,2008,4,KC,DEN,Grass,outdoor,"76,416",9.0
2008-09-28,2008-09-28,2008,4,NO,SF,FieldTurf,indoor,"76,468",-4.0
2008-09-28,2008-09-28,2008,4,NYJ,ARI,Grass,outdoor,82500,-1.5
2008-09-28,2008-09-28,2008,4,LVR,LAC,Grass,outdoor,"53,250",8.0
2008-09-28,2008-09-28,2008,4,LAR,BUF,FieldTurf,indoor,67000,8.5
2008-09-28,2008-09-28,2008,4,TB,GB,Grass,outdoor,"65,890",-2.0
2008-09-28,2008-09-28,2008,4,TEN,MIN,Grass,outdoor,"69,143",-3.0
2008-09-29,2008-09-29,2008,4,PIT,BAL,Grass,outdoor,"65,500",-6.0
2008-10-05,2008-10-05,2008,5,ARI,BUF,Grass,indoor,"63,400",-2.5
2008-10-05,2008-10-05,2008,5,BAL,TEN,FieldTurf,outdoor,"71,008",1.0
2008-10-05,2008-10-05,2008,5,CAR,KC,Grass,outdoor,"73,778",-10.0
2008-10-05,2008-10-05,2008,5,DAL,CIN,FieldTurf,outdoor,66000,-16.0
2008-10-05,2008-10-05,2008,5,DEN,TB,Grass,outdoor,"76,125",-4.0
2008-10-05,2008-10-05,2008,5,DET,CHI,FieldTurf,indoor,"65,000",3.0
2008-10-05,2008-10-05,2008,5,GB,ATL,Grass,outdoor,"80,735",-5.0
2008-10-05,2008-10-05,2008,5,HOU,IND,Grass,indoor,"71,500",4.5
2008-10-05,2008-10-05,2008,5,JAX,PIT,Grass,outdoor,"67,264",-5.0
2008-10-05,2008-10-05,2008,5,MIA,LAC,Grass,outdoor,65000,6.0
2008-10-05,2008-10-05,2008,5,NYG,SEA,Grass,outdoor,82500,-6.5
2008-10-05,2008-10-05,2008,5,PHI,WAS,Grass,outdoor,"69,176",-6.5
2008-10-05,2008-10-05,2008,5,SF,NE,Grass,outdoor,70000,3.0
2008-10-06,2008-10-06,2008,5,NO,MIN,FieldTurf,indoor,"76,468",-3.0
2008-10-12,2008-10-12,2008,6,ARI,DAL,Grass,indoor,"63,400",5.0
2008-10-12,2008-10-12,2008,6,ATL,CHI,FieldTurf,indoor,"71,250",3.0
2008-10-12,2008-10-12,2008,6,DEN,JAX,Grass,outdoor,"76,125",-3.0
2008-10-12,2008-10-12,2008,6,HOU,MIA,Grass,indoor,"71,500",-3.0
2008-10-12,2008-10-12,2008,6,IND,BAL,FieldTurf,indoor,"63,000",-4.0
2008-10-12,2008-10-12,2008,6,MIN,DET,FieldTurf,indoor,64000,-13.0
2008-10-12,2008-10-12,2008,6,NO,LVR,FieldTurf,indoor,"76,468",-7.0
2008-10-12,2008-10-12,2008,6,NYJ,CIN,Grass,outdoor,82500,-8.0
2008-10-12,2008-10-12,2008,6,LAC,NE,Grass,outdoor,"71,500",-6.0
2008-10-12,2008-10-12,2008,6,SF,PHI,Grass,outdoor,70000,5.0
2008-10-12,2008-10-12,2008,6,SEA,GB,FieldTurf,outdoor,"67,000",-1.0
2008-10-12,2008-10-12,2008,6,TB,CAR,Grass,outdoor,"65,890",-1.0
2008-10-12,2008-10-12,2008,6,WAS,LAR,Grass,outdoor,"79,000",-13.5
2008-10-13,2008-10-13,2008,6,CLE,NYG,Grass,outdoor,"68,000",8.0
2008-10-19,2008-10-19,2008,7,BUF,LAC,FieldTurf,outdoor,"73,967",-1.0
2008-10-19,2008-10-19,2008,7,CAR,NO,Grass,outdoor,"73,778",-3.0
2008-10-19,2008-10-19,2008,7,CHI,MIN,Grass,outdoor,"61,500",-3.0
2008-10-19,2008-10-19,2008,7,CIN,PIT,FieldTurf,outdoor,"65,515",8.5
2008-10-19,2008-10-19,2008,7,GB,IND,Grass,outdoor,"80,735",2.5
2008-10-19,2008-10-19,2008,7,HOU,DET,Grass,indoor,"71,500",-11.5
2008-10-19,2008-10-19,2008,7,KC,TEN,Grass,outdoor,"76,416",9.0
2008-10-19,2008-10-19,2008,7,MIA,BAL,Grass,outdoor,65000,-3.0
2008-10-19,2008-10-19,2008,7,NYG,SF,Grass,outdoor,82500,-10.0
2008-10-19,2008-10-19,2008,7,LVR,NYJ,Grass,outdoor,"53,250",3.0
2008-10-19,2008-10-19,2008,7,LAR,DAL,FieldTurf,indoor,67000,8.0
2008-10-19,2008-10-19,2008,7,TB,SEA,Grass,outdoor,"65,890",-11.5
2008-10-19,2008-10-19,2008,7,WAS,CLE,Grass,outdoor,"79,000",-7.0
2008-10-20,2008-10-20,2008,7,NE,DEN,FieldTurf,outdoor,"68,756",-3.0
2008-10-26,2008-10-26,2008,8,BAL,LVR,FieldTurf,outdoor,"71,008",-8.0
2008-10-26,2008-10-26,2008,8,CAR,ARI,Grass,outdoor,"73,778",-5.5
2008-10-26,2008-10-26,2008,8,DAL,TB,FieldTurf,outdoor,66000,-1.5
2008-10-26,2008-10-26,2008,8,DET,WAS,FieldTurf,indoor,"65,000",7.0
2008-10-26,2008-10-26,2008,8,HOU,CIN,Grass,indoor,"71,500",-9.0
2008-10-26,2008-10-26,2008,8,JAX,CLE,Grass,outdoor,"67,264",-7.0
2008-10-26,2008-10-26,2008,8,MIA,BUF,Grass,outdoor,65000,-1.0
2008-10-26,2008-10-26,2008,8,NE,LAR,FieldTurf,outdoor,"68,756",-9.0
2008-10-26,2008-10-26,2008,8,NYJ,KC,Grass,outdoor,82500,-14.0
2008-10-26,2008-10-26,2008,8,PHI,ATL,Grass,outdoor,"69,176",-9.5
2008-10-26,2008-10-26,2008,8,PIT,NYG,Grass,outdoor,"65,500",-3.0
2008-10-26,2008-10-26,2008,8,SF,SEA,Grass,outdoor,70000,-5.5
2008-10-27,2008-10-27,2008,8,TEN,IND,Grass,outdoor,"69,143",-4.0
2008-11-02,2008-11-02,2008,9,BUF,NYJ,FieldTurf,outdoor,"73,967",-5.0
2008-11-02,2008-11-02,2008,9,CHI,DET,Grass,outdoor,"61,500",-12.5
2008-11-02,2008-11-02,2008,9,CIN,JAX,FieldTurf,outdoor,"65,515",7.5
2008-11-02,2008-11-02,2008,9,CLE,BAL,Grass,outdoor,"68,000",-2.5
2008-11-02,2008-11-02,2008,9,DEN,MIA,Grass,outdoor,"76,125",-4.0
2008-11-02,2008-11-02,2008,9,IND,NE,FieldTurf,indoor,"63,000",-6.5
2008-11-02,2008-11-02,2008,9,KC,TB,Grass,outdoor,"76,416",9.5
2008-11-02,2008-11-02,2008,9,MIN,HOU,FieldTurf,indoor,64000,-5.5
2008-11-02,2008-11-02,2008,9,NYG,DAL,Grass,outdoor,82500,-8.5
2008-11-02,2008-11-02,2008,9,LVR,ATL,Grass,outdoor,"53,250",3.0
2008-11-02,2008-11-02,2008,9,SEA,PHI,FieldTurf,outdoor,"67,000",6.5
2008-11-02,2008-11-02,2008,9,LAR,ARI,FieldTurf,indoor,67000,3.0
2008-11-02,2008-11-02,2008,9,TEN,GB,Grass,outdoor,"69,143",-3.5
2008-11-03,2008-11-03,2008,9,WAS,PIT,Grass,outdoor,"79,000",-2.5
2008-11-06,2008-11-06,2008,10,CLE,DEN,Grass,outdoor,"68,000",-3.0
2008-11-09,2008-11-09,2008,10,ATL,NO,FieldTurf,indoor,"71,250",-1.5
2008-11-09,2008-11-09,2008,10,CHI,TEN,Grass,outdoor,"61,500",3.0
2008-11-09,2008-11-09,2008,10,DET,JAX,FieldTurf,indoor,"65,000",5.0
2008-11-09,2008-11-09,2008,10,HOU,BAL,Grass,indoor,"71,500",-2.5
2008-11-09,2008-11-09,2008,10,MIA,SEA,Grass,outdoor,65000,-7.5
2008-11-09,2008-11-09,2008,10,MIN,GB,FieldTurf,indoor,64000,-2.5
2008-11-09,2008-11-09,2008,10,NE,BUF,FieldTurf,outdoor,"68,756",-3.5
2008-11-09,2008-11-09,2008,10,NYJ,LAR,Grass,outdoor,82500,-9.5
2008-11-09,2008-11-09,2008,10,LVR,CAR,Grass,outdoor,"53,250",9.5
